BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	BespokeSEGeneratorx	BespokeSEGeneratory
0	0	0	0	0	0
0.003084	1	0.0034340000000000004	1	0.0014600000000000001	1
0.005056	2	0.004753999999999	2	0.0055969999999999995	2
0.005363000000000001	3	0.004798	3	0.009797	3
0.006314999999999999	4	0.006189	4	0.010418	4
0.007292	5	0.006495	5	0.011193	5
0.011460999999999999	6	0.00668	6	0.012843	6
0.011581	7	0.007038	7	0.013169	7
0.011625	8	0.008237999999999999	8	0.01862	8
0.013314000000000001	9	0.008749	9	0.025866	9
0.013411	10	0.00914	10	0.031944	10
0.013516	11	0.009186999999999002	11	0.033165	11
0.014423	12	0.013720000000000001	12	0.046416	12
0.037568	13	0.040910999999999996	13	0.127198	13
0.04890100000000001	14	0.045757	14	0.137904	14
0.06544799999999901	15	0.051262999999999004	15	0.295666999999999	15
0.07803399999999999	16	0.053009	16	0.521703	16
0.08751199999999999	17	0.12798199999999998	17	0.896511	17
0.16216799999999998	18	0.19028	18	0.912438	18
0.244158	19	0.20029899999999998	19	1.758426	19
0.362016	20	0.226313	20	1.890744	20
60	20	60	20	60	20
