BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	SBespokeMLENumAppsTarget333LR1Epochs1000Generatorx	SBespokeMLENumAppsTarget333LR1Epochs1000Generatory
0	0	0	0	0	0
0.0013369999999999999	1	0.00423	1	0.000279	1
0.004201	2	0.0045650000000000005	2	0.00047799999999900006	2
0.008237	3	0.005353	3	0.003577	3
0.008737	4	0.0061070000000000004	4	0.0036100000000000004	4
0.009918999999999999	5	0.006201	5	0.0036119999999999998	5
0.01132	6	0.00672	6	0.007789	6
0.011826000000000001	7	0.0068920000000000006	7	0.017455	7
0.012475	8	0.007032	8	0.017969000000000002	8
0.015455	9	0.007261	9	0.019355999999999998	9
0.018944	10	0.007441	10	0.020333999999999998	10
0.019211	11	0.011753999999999999	11	0.024184999999999002	11
0.020489	12	0.013758999999999999	12	0.025613999999999998	12
0.034945000000000004	13	0.043141	13	0.026647999999999998	13
0.039578999999999996	14	0.04415	14	0.031353	14
0.062478000000000006	15	0.044537	15	0.031792	15
0.076356	16	0.057873	16	0.036004	16
0.226586999999999	17	0.200462	17	60	16
0.23534200000000002	18	0.22189399999999998	18		
0.35841300000000004	19	0.264885	19		
0.47625799999999996	20	0.289551	20		
60	20	60	20		
