BespokeGeneratorx	BespokeGeneratory	LBespokeGeneratorx	LBespokeGeneratory	SBespokeMLENumAppsTarget4321LR1Epochs250Generatorx	SBespokeMLENumAppsTarget4321LR1Epochs250Generatory
0	0	0	0	0	0
0.0025960000000000002	1	0.002725	1	0.0008939999999999999	1
0.004127	2	0.005481	2	0.001367	2
0.005228	3	0.005698000000000001	3	0.001841	3
0.005985000000000001	4	0.005769	4	0.002532	4
0.0073479999999999995	5	0.007121000000000001	5	0.0029500000000000004	5
0.008244	6	0.007951	6	0.003806	6
0.010039	7	0.008450000000000001	7	0.003933	7
0.010612	8	0.008988999999999999	8	0.0050539999999999995	8
0.010707000000000001	9	0.009292	9	0.005448000000000001	9
0.012634000000000001	10	0.00941	10	0.005548	10
0.015160999999999002	11	0.00982	11	0.009507	11
0.015954	12	0.010295	12	0.010350999999999999	12
0.038888	13	0.026250000000000002	13	0.010750000000000001	13
0.038921	14	0.045717	14	0.011002999999999999	14
0.05603	15	0.048083	15	0.012497999999999999	15
0.084603	16	0.055705	16	0.013077	16
0.167438	17	0.14321599999999998	17	0.23194900000000002	17
0.36896399999999996	18	0.15647899999999998	18	0.293755999999999	18
0.43472000000000005	19	0.23039300000000001	19	0.298265	19
0.601039	20	0.362668	20	0.312965	20
60	20	60	20	60	20
