TypeBasedGeneratorx	TypeBasedGeneratory	SLSDThinGeneratorx	SLSDThinGeneratory	SLSDThinSEFreq2SPB200WellTypedLR30Epochs2000Bound10Generatorx	SLSDThinSEFreq2SPB200WellTypedLR30Epochs2000Bound10Generatory
0	0	0	0	0	0
0.044611	1	0.038164000000000003	1	0.016685	1
0.051322000000000007	2	0.046824	2	0.016817000000000002	2
0.063777	3	0.054891999999999996	3	0.019961	3
0.070127	4	0.061012000000000004	4	0.021789000000000003	4
0.07181499999999999	5	0.061487999999999994	5	0.021914000000000003	5
0.084579	6	0.062531	6	0.022924999999999997	6
0.09815499999999999	7	0.073245999999999	7	0.024874999999999998	7
0.11788000000000001	8	0.07355500000000001	8	0.027419000000000002	8
0.118613	9	0.07667600000000001	9	0.032887	9
0.15506599999999998	10	0.07685800000000001	10	0.034851999999999	10
0.17088799999999998	11	0.11788599999999999	11	0.036557000000000006	11
0.188205999999999	12	0.199307999999999	12	0.050107	12
0.30908199999999997	13	0.21190699999999998	13	0.096804	13
0.36673000000000006	14	0.222525	14	0.101074	14
0.557279	15	0.27690000000000003	15	0.16524899999999998	15
0.689879	16	0.44588900000000004	16	0.17032699999999998	16
6.5885500000000015	17	3.6491599999999993	17	1.110507	17
12.078735	18	8.16022	18	1.230705999999999	18
13.563975000000001	19	8.219548000000001	19	1.250184	19
15.593554000000001	20	15.870370999999999	20	1.378849	20
60	20	60	20	60	20
