TypeBasedGeneratorx	TypeBasedGeneratory	BLSDThinGeneratorx	BLSDThinGeneratory	BLSDThinSEFreq2SPB200IsBSTLR30Epochs2000Bound10Generatorx	BLSDThinSEFreq2SPB200IsBSTLR30Epochs2000Bound10Generatory
0	0	0	0	0	0
0.000204	1	0.00026700000000000004	1	0.000112	1
0.00030199999999999997	2	0.00044199999999999996	2	0.00014000000000000001	2
0.00039400000000000004	3	0.0005600000000000001	3	0.000145	3
0.00040500000000000003	4	0.000584	4	0.00019800000000000002	4
0.00042699999999999997	5	0.00059	5	0.00021799999999999999	5
0.00047000000000000004	6	0.0006000000000000001	6	0.00022099999999999998	6
0.000499	7	0.0006600000000000001	7	0.000247	7
0.000535	8	0.000739	8	0.000279	8
0.00055	9	0.0007980000000000001	9	0.000281999999999	9
0.000578	10	0.0008300000000000001	10	0.000281999999999	10
0.00059	11	0.0009000000000000001	11	0.00031499999999999996	11
0.0006000000000000001	12	0.000906	12	0.000319	12
0.0006100000000000001	13	0.0011220000000000002	13	0.000321	13
0.00062	14	0.001269	14	0.00033400000000000004	14
0.00062	15	0.0013579999999999998	15	0.00038199999999999996	15
0.00063	16	0.001405	16	0.00040600000000000006	16
0.0006500000000000001	17	0.0020670000000000003	17	0.000437	17
0.00067	18	0.00231	18	0.000483	18
0.00071	19	0.0023109999999999997	19	0.0005189999999999999	19
0.00075	20	0.0024630000000000003	20	0.0005329999999999999	20
0.0007769999999999999	21	0.002748	21	0.0005549999999999999	21
0.0008900000000000001	22	0.002993	22	0.000569	22
0.00092	23	0.003026	23	0.000614	23
0.001158	24	0.0032480000000000005	24	0.000628	24
0.0014659999999999999	25	0.003826	25	0.0006580000000000001	25
0.0016600000000000002	26	0.00394	26	0.000694	26
0.0016619999999990002	27	0.004501000000000001	27	0.0008049999999999999	27
0.002574	28	0.004557999999999	28	0.0008179999999990001	28
0.002626	29	0.004896	29	0.000842	29
0.0032419999999999997	30	0.005156	30	0.000967	30
0.0033339999999999997	31	0.005540000000000001	31	0.001013	31
0.003707	32	0.005613000000000001	32	0.0010819999999999998	32
0.004513	33	0.006960000000000001	33	0.00109	33
0.005706	34	0.008114000000000001	34	0.001093	34
0.007045999999999999	35	0.009165999999999999	35	0.001117	35
0.009092000000000001	36	0.011103	36	0.0014579999999999999	36
0.012536	37	0.012476000000000001	37	0.0014830000000000002	37
0.012993000000000001	38	0.013104999999999999	38	0.001547	38
0.016290000000000002	39	0.013744	39	0.001575	39
0.016597	40	0.015390000000000001	40	0.001787	40
0.018378000000000002	41	0.016433	41	0.0018909999999999999	41
0.023896999999999002	42	0.017564	42	0.001941	42
0.026909	43	0.020763	43	0.002007	43
0.029592999999999998	44	0.027312000000000003	44	0.00267	44
0.039488999999999004	45	0.031880000000000006	45	0.002848	45
0.040672	46	0.038711999999999996	46	0.00542	46
0.046922	47	0.063049	47	0.0073219999999999995	47
0.22864199999999998	48	0.170768	48	0.007339000000000001	48
0.484149	49	0.260062	49	0.010199	49
60	49	60	49	60	49
