TypeBasedGeneratorx	TypeBasedGeneratory	RLSDThinGeneratorx	RLSDThinGeneratory	RLSDThinSEFreq2SPB200IsRBTLR30Epochs2000Bound10Generatorx	RLSDThinSEFreq2SPB200IsRBTLR30Epochs2000Bound10Generatory
0	0	0	0	0	0
0.00012299999999999998	1	0.00037000000000000005	1	0.000124	1
0.000194	2	0.00042199999999999996	2	0.00013199999999999998	2
0.000245	3	0.0006550000000000001	3	0.00016600000000000002	3
0.00045099999999999996	4	0.000665	4	0.00016600000000000002	4
0.000484999999999	5	0.0006730000000000001	5	0.000216	5
0.000869	6	0.0014169999999999999	6	0.000368	6
0.0009400000000000001	7	0.001478	7	0.00040100000000000004	7
0.0010500000000000002	8	0.0031209999999999996	8	0.000565	8
0.0012209999999999999	9	0.0037939999999999996	9	0.0006180000000000001	9
0.001482	10	0.004212	10	0.0006670000000000001	10
0.001712	11	0.004458	11	0.0007059999999990001	11
0.002368	12	0.004543999999999	12	0.0007300000000000001	12
0.003287999999999	13	0.005631000000000001	13	0.0011400000000000002	13
0.003384	14	0.007794	14	0.0013319999999999999	14
0.0038250000000000003	15	0.008431	15	0.0015019999999999999	15
0.014912000000000002	16	0.013045999999999999	16	0.001527	16
0.018569	17	0.015345999999999999	17	0.001924	17
0.022230000000000003	18	0.026362	18	0.0026320000000000002	18
0.026622	19	0.031856999999999996	19	0.0038919999999999996	19
0.029989000000000002	20	0.036559	20	0.0040609999999999995	20
0.056518	21	0.040436	21	0.005898	21
0.21197000000000002	22	0.108988	22	0.0060929999999999995	22
0.23996499999999998	23	0.157218	23	0.008584	23
0.357489	24	0.163828	24	0.014084999999999999	24
0.454851	25	0.284832	25	0.022475000000000002	25
0.9864200000000001	26	0.5123540000000001	26	0.029377	26
1.834704	27	0.665748	27	0.034895999999999996	27
4.8280449999999995	28	2.320589	28	0.04741	28
60	28	60	28	60	28
