,workload,strategy,task,time
0,RBT,CondEntropyInvariants2Generator,"RBT,delete_4,test_prop_DeleteValid",300.0
1,RBT,CondEntropyInvariants2Generator,"RBT,delete_5,test_prop_DeleteDelete",300.0
2,RBT,CondEntropyInvariants2Generator,"RBT,delete_5,test_prop_DeleteInsert",300.0
3,RBT,CondEntropyInvariants2Generator,"RBT,delete_5,test_prop_DeleteModel",300.0
4,RBT,CondEntropyInvariants2Generator,"RBT,delete_5,test_prop_DeletePost",300.0
5,RBT,CondEntropyInvariants2Generator,"RBT,delete_5,test_prop_InsertDelete",300.0
6,RBT,CondEntropyInvariants2Generator,"RBT,insert_1,test_prop_DeleteInsert",300.0
7,RBT,CondEntropyInvariants2Generator,"RBT,insert_1,test_prop_InsertInsert",0.0009800000000000002
8,RBT,CondEntropyInvariants2Generator,"RBT,insert_1,test_prop_InsertModel",300.0
9,RBT,CondEntropyInvariants2Generator,"RBT,insert_1,test_prop_InsertPost",300.0
10,RBT,CondEntropyInvariants2Generator,"RBT,insert_2,test_prop_DeleteInsert",300.0
11,RBT,CondEntropyInvariants2Generator,"RBT,insert_2,test_prop_InsertDelete",300.0
12,RBT,CondEntropyInvariants2Generator,"RBT,insert_2,test_prop_InsertInsert",0.0008900000000000001
13,RBT,CondEntropyInvariants2Generator,"RBT,insert_2,test_prop_InsertModel",300.0
14,RBT,CondEntropyInvariants2Generator,"RBT,insert_2,test_prop_InsertPost",300.0
15,RBT,CondEntropyInvariants2Generator,"RBT,insert_3,test_prop_InsertDelete",300.0
16,RBT,CondEntropyInvariants2Generator,"RBT,insert_3,test_prop_InsertInsert",300.0
17,RBT,CondEntropyInvariants2Generator,"RBT,insert_3,test_prop_InsertModel",300.0
18,RBT,CondEntropyInvariants2Generator,"RBT,insert_3,test_prop_InsertPost",300.0
19,RBT,CondEntropyInvariants2Generator,"RBT,miscolor_balLeft,test_prop_DeleteValid",300.0
20,RBT,CondEntropyInvariants2Generator,"RBT,miscolor_insert,test_prop_InsertValid",300.0
21,RBT,CondEntropyInvariants2Generator,"RBT,miscolor_join_2,test_prop_DeleteValid",300.0
22,RBT,CondEntropyInvariants2Generator,"RBT,miscolordelete,test_prop_DeleteValid",300.0
23,RBT,CondEntropyInvariants2Generator,"RBT,no_balance_insert_1,test_prop_InsertValid",300.0
24,RBT,CondEntropyInvariants2Generator,"RBT,no_balance_insert_2,test_prop_InsertValid",300.0
25,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_DeleteDelete",300.0
26,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_DeleteInsert",300.0
27,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_DeleteModel",300.0
28,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_DeletePost",300.0
29,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_DeleteValid",300.0
30,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_InsertDelete",300.0
31,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_InsertInsert",300.0
32,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_InsertModel",300.0
33,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_InsertPost",300.0
34,RBT,CondEntropyInvariants2Generator,"RBT,swap_ad,test_prop_InsertValid",300.0
35,RBT,EntropyOnlyGenerator,"RBT,delete_4,test_prop_DeleteValid",300.0
36,RBT,EntropyOnlyGenerator,"RBT,delete_5,test_prop_DeleteDelete",300.0
37,RBT,EntropyOnlyGenerator,"RBT,delete_5,test_prop_DeleteInsert",300.0
38,RBT,EntropyOnlyGenerator,"RBT,delete_5,test_prop_DeleteModel",300.0
39,RBT,EntropyOnlyGenerator,"RBT,delete_5,test_prop_DeletePost",300.0
40,RBT,EntropyOnlyGenerator,"RBT,delete_5,test_prop_InsertDelete",300.0
41,RBT,EntropyOnlyGenerator,"RBT,insert_1,test_prop_DeleteInsert",300.0
42,RBT,EntropyOnlyGenerator,"RBT,insert_1,test_prop_InsertInsert",0.00092
43,RBT,EntropyOnlyGenerator,"RBT,insert_1,test_prop_InsertModel",300.0
44,RBT,EntropyOnlyGenerator,"RBT,insert_1,test_prop_InsertPost",300.0
45,RBT,EntropyOnlyGenerator,"RBT,insert_2,test_prop_DeleteInsert",300.0
46,RBT,EntropyOnlyGenerator,"RBT,insert_2,test_prop_InsertDelete",300.0
47,RBT,EntropyOnlyGenerator,"RBT,insert_2,test_prop_InsertInsert",0.0009100000000000001
48,RBT,EntropyOnlyGenerator,"RBT,insert_2,test_prop_InsertModel",300.0
49,RBT,EntropyOnlyGenerator,"RBT,insert_2,test_prop_InsertPost",300.0
50,RBT,EntropyOnlyGenerator,"RBT,insert_3,test_prop_InsertDelete",300.0
51,RBT,EntropyOnlyGenerator,"RBT,insert_3,test_prop_InsertInsert",300.0
52,RBT,EntropyOnlyGenerator,"RBT,insert_3,test_prop_InsertModel",300.0
53,RBT,EntropyOnlyGenerator,"RBT,insert_3,test_prop_InsertPost",300.0
54,RBT,EntropyOnlyGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",300.0
55,RBT,EntropyOnlyGenerator,"RBT,miscolor_insert,test_prop_InsertValid",300.0
56,RBT,EntropyOnlyGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",300.0
57,RBT,EntropyOnlyGenerator,"RBT,miscolordelete,test_prop_DeleteValid",300.0
58,RBT,EntropyOnlyGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",300.0
59,RBT,EntropyOnlyGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",300.0
60,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_DeleteDelete",300.0
61,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_DeleteInsert",300.0
62,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_DeleteModel",300.0
63,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_DeletePost",300.0
64,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_DeleteValid",300.0
65,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_InsertDelete",300.0
66,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_InsertInsert",300.0
67,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_InsertModel",300.0
68,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_InsertPost",300.0
69,RBT,EntropyOnlyGenerator,"RBT,swap_ad,test_prop_InsertValid",300.0
70,RBT,ManualTypeBasedGenerator,"RBT,delete_4,test_prop_DeleteValid",300.0
71,RBT,ManualTypeBasedGenerator,"RBT,delete_5,test_prop_DeleteDelete",0.7204400000000001
72,RBT,ManualTypeBasedGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.017580000000000002
