,workload,strategy,task,time
0,IFC,BespokeGenerator,"IFC,OpAlloc_1,test_propSSNI_smart",0.006684000000000001
1,IFC,BespokeGenerator,"IFC,OpAlloc_2,test_propSSNI_smart",0.018737999999999998
2,IFC,BespokeGenerator,"IFC,OpAlloc_3,test_propSSNI_smart",0.014266000000000001
3,IFC,BespokeGenerator,"IFC,OpAlloc_4,test_propSSNI_smart",0.028134
4,IFC,BespokeGenerator,"IFC,OpBCall_1,test_propSSNI_smart",0.056457
5,IFC,BespokeGenerator,"IFC,OpBCall_2,test_propSSNI_smart",0.20316199999999998
6,IFC,BespokeGenerator,"IFC,OpBCall_3,test_propSSNI_smart",0.156274
7,IFC,BespokeGenerator,"IFC,OpBCall_4,test_propSSNI_smart",0.206892
8,IFC,BespokeGenerator,"IFC,OpBCall_5,test_propSSNI_smart",4.212048
9,IFC,BespokeGenerator,"IFC,OpBCall_6,test_propSSNI_smart",0.494602
10,IFC,BespokeGenerator,"IFC,OpBNZ_1,test_propSSNI_smart",0.09681000000000001
11,IFC,BespokeGenerator,"IFC,OpBNZ_2,test_propSSNI_smart",0.430094
12,IFC,BespokeGenerator,"IFC,OpBNZ_3,test_propSSNI_smart",0.445719
13,IFC,BespokeGenerator,"IFC,OpBRet_1,test_propSSNI_smart",0.065526
14,IFC,BespokeGenerator,"IFC,OpBRet_10,test_propSSNI_smart",0.038541
15,IFC,BespokeGenerator,"IFC,OpBRet_11,test_propSSNI_smart",0.034373
16,IFC,BespokeGenerator,"IFC,OpBRet_2,test_propSSNI_smart",0.411056
17,IFC,BespokeGenerator,"IFC,OpBRet_3,test_propSSNI_smart",0.401638
18,IFC,BespokeGenerator,"IFC,OpBRet_4,test_propSSNI_smart",0.435681
19,IFC,BespokeGenerator,"IFC,OpBRet_5,test_propSSNI_smart",0.148013
20,IFC,BespokeGenerator,"IFC,OpBRet_6,test_propSSNI_smart",0.16983499999999999
21,IFC,BespokeGenerator,"IFC,OpBRet_7,test_propSSNI_smart",0.25802800000000004
22,IFC,BespokeGenerator,"IFC,OpBinOp_1,test_propSSNI_smart",0.10342000000000001
23,IFC,BespokeGenerator,"IFC,OpBinOp_2,test_propSSNI_smart",0.8978640000000001
24,IFC,BespokeGenerator,"IFC,OpBinOp_3,test_propSSNI_smart",2.878997
25,IFC,BespokeGenerator,"IFC,OpBinOp_4,test_propSSNI_smart",0.16056199999999998
26,IFC,BespokeGenerator,"IFC,OpJump_1,test_propSSNI_smart",0.17247700000000002
27,IFC,BespokeGenerator,"IFC,OpJump_2,test_propSSNI_smart",0.211313
28,IFC,BespokeGenerator,"IFC,OpJump_3,test_propSSNI_smart",1.091675
29,IFC,BespokeGenerator,"IFC,OpLab_1,test_propSSNI_smart",60.0
30,IFC,BespokeGenerator,"IFC,OpLoad_1,test_propSSNI_smart",0.822834
31,IFC,BespokeGenerator,"IFC,OpLoad_2,test_propSSNI_smart",0.047857000000000004
32,IFC,BespokeGenerator,"IFC,OpLoad_3,test_propSSNI_smart",0.16294
