,workload,strategy,task,time
0,RBT,LSDGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
1,RBT,LSDGenerator,"RBT,delete_5,test_prop_DeleteDelete",20.394498
2,RBT,LSDGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.004693
3,RBT,LSDGenerator,"RBT,delete_5,test_prop_DeleteModel",1.027599999999999
4,RBT,LSDGenerator,"RBT,delete_5,test_prop_DeletePost",3.52547
5,RBT,LSDGenerator,"RBT,delete_5,test_prop_InsertDelete",1.445937
6,RBT,LSDGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.008893999999999999
7,RBT,LSDGenerator,"RBT,insert_1,test_prop_InsertInsert",0.000526
8,RBT,LSDGenerator,"RBT,insert_1,test_prop_InsertModel",0.000944
9,RBT,LSDGenerator,"RBT,insert_1,test_prop_InsertPost",0.11608
10,RBT,LSDGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.103312
11,RBT,LSDGenerator,"RBT,insert_2,test_prop_InsertDelete",0.204627
12,RBT,LSDGenerator,"RBT,insert_2,test_prop_InsertInsert",0.001238
13,RBT,LSDGenerator,"RBT,insert_2,test_prop_InsertModel",0.026875999999999997
14,RBT,LSDGenerator,"RBT,insert_2,test_prop_InsertPost",0.16678099999999998
15,RBT,LSDGenerator,"RBT,insert_3,test_prop_InsertDelete",1.024588
16,RBT,LSDGenerator,"RBT,insert_3,test_prop_InsertInsert",0.007124999999999999
17,RBT,LSDGenerator,"RBT,insert_3,test_prop_InsertModel",0.038142999999999996
18,RBT,LSDGenerator,"RBT,insert_3,test_prop_InsertPost",1.105428
19,RBT,LSDGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
20,RBT,LSDGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.004536999999999999
21,RBT,LSDGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
22,RBT,LSDGenerator,"RBT,miscolordelete,test_prop_DeleteValid",0.008402
23,RBT,LSDGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.024808999999999998
24,RBT,LSDGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.015666
25,RBT,LSDGenerator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
26,RBT,LSDGenerator,"RBT,swap_ad,test_prop_DeleteInsert",6.102937
27,RBT,LSDGenerator,"RBT,swap_ad,test_prop_DeleteModel",60.0
28,RBT,LSDGenerator,"RBT,swap_ad,test_prop_DeletePost",60.0
29,RBT,LSDGenerator,"RBT,swap_ad,test_prop_DeleteValid",60.0
30,RBT,LSDGenerator,"RBT,swap_ad,test_prop_InsertDelete",8.426506999999999
31,RBT,LSDGenerator,"RBT,swap_ad,test_prop_InsertInsert",0.028038999999999998
32,RBT,LSDGenerator,"RBT,swap_ad,test_prop_InsertModel",0.33459099999999997
33,RBT,LSDGenerator,"RBT,swap_ad,test_prop_InsertPost",60.0
34,RBT,LSDGenerator,"RBT,swap_ad,test_prop_InsertValid",0.525506
35,RBT,LSDInitGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
36,RBT,LSDInitGenerator,"RBT,delete_5,test_prop_DeleteDelete",30.343172
37,RBT,LSDInitGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.003084
38,RBT,LSDInitGenerator,"RBT,delete_5,test_prop_DeleteModel",0.628597
39,RBT,LSDInitGenerator,"RBT,delete_5,test_prop_DeletePost",9.530884
40,RBT,LSDInitGenerator,"RBT,delete_5,test_prop_InsertDelete",0.500827999999999
41,RBT,LSDInitGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.007404
42,RBT,LSDInitGenerator,"RBT,insert_1,test_prop_InsertInsert",0.0013640000000000002
43,RBT,LSDInitGenerator,"RBT,insert_1,test_prop_InsertModel",0.0009559999999990001
44,RBT,LSDInitGenerator,"RBT,insert_1,test_prop_InsertPost",0.051208
45,RBT,LSDInitGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.11601000000000002
46,RBT,LSDInitGenerator,"RBT,insert_2,test_prop_InsertDelete",0.126348
47,RBT,LSDInitGenerator,"RBT,insert_2,test_prop_InsertInsert",0.0010600000000000002
48,RBT,LSDInitGenerator,"RBT,insert_2,test_prop_InsertModel",0.008723
49,RBT,LSDInitGenerator,"RBT,insert_2,test_prop_InsertPost",0.08251499999999999
50,RBT,LSDInitGenerator,"RBT,insert_3,test_prop_InsertDelete",0.788613
51,RBT,LSDInitGenerator,"RBT,insert_3,test_prop_InsertInsert",0.0017410000000000001
52,RBT,LSDInitGenerator,"RBT,insert_3,test_prop_InsertModel",0.02094
53,RBT,LSDInitGenerator,"RBT,insert_3,test_prop_InsertPost",0.7431500000000001
54,RBT,LSDInitGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
55,RBT,LSDInitGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.003686999999999
56,RBT,LSDInitGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
57,RBT,LSDInitGenerator,"RBT,miscolordelete,test_prop_DeleteValid",0.013054999999999999
58,RBT,LSDInitGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.022185999999999997
59,RBT,LSDInitGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.030462999999999997
60,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
61,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_DeleteInsert",3.977313
62,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_DeleteModel",60.0
63,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_DeletePost",60.0
64,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_DeleteValid",60.0
65,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_InsertDelete",11.365777
66,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_InsertInsert",0.015410000000000002
67,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_InsertModel",0.392308
68,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_InsertPost",60.0
69,RBT,LSDInitGenerator,"RBT,swap_ad,test_prop_InsertValid",0.451976999999999
70,RBT,R_LSDEqBound05Generator,"RBT,delete_4,test_prop_DeleteValid",60.0
71,RBT,R_LSDEqBound05Generator,"RBT,delete_5,test_prop_DeleteDelete",0.139536
72,RBT,R_LSDEqBound05Generator,"RBT,delete_5,test_prop_DeleteInsert",0.001418
73,RBT,R_LSDEqBound05Generator,"RBT,delete_5,test_prop_DeleteModel",0.0067209999999999995
74,RBT,R_LSDEqBound05Generator,"RBT,delete_5,test_prop_DeletePost",0.048208999999999995
75,RBT,R_LSDEqBound05Generator,"RBT,delete_5,test_prop_InsertDelete",0.008218
76,RBT,R_LSDEqBound05Generator,"RBT,insert_1,test_prop_DeleteInsert",0.00032199999999999997
77,RBT,R_LSDEqBound05Generator,"RBT,insert_1,test_prop_InsertInsert",0.001299
78,RBT,R_LSDEqBound05Generator,"RBT,insert_1,test_prop_InsertModel",0.000354
79,RBT,R_LSDEqBound05Generator,"RBT,insert_1,test_prop_InsertPost",0.006705
80,RBT,R_LSDEqBound05Generator,"RBT,insert_2,test_prop_DeleteInsert",0.0065060000000000005
81,RBT,R_LSDEqBound05Generator,"RBT,insert_2,test_prop_InsertDelete",0.015593999999999998
82,RBT,R_LSDEqBound05Generator,"RBT,insert_2,test_prop_InsertInsert",0.0009159999999999999
83,RBT,R_LSDEqBound05Generator,"RBT,insert_2,test_prop_InsertModel",0.005103
84,RBT,R_LSDEqBound05Generator,"RBT,insert_2,test_prop_InsertPost",0.004281
85,RBT,R_LSDEqBound05Generator,"RBT,insert_3,test_prop_InsertDelete",0.0040809999999999996
86,RBT,R_LSDEqBound05Generator,"RBT,insert_3,test_prop_InsertInsert",0.004443
87,RBT,R_LSDEqBound05Generator,"RBT,insert_3,test_prop_InsertModel",0.005249
88,RBT,R_LSDEqBound05Generator,"RBT,insert_3,test_prop_InsertPost",0.013679
89,RBT,R_LSDEqBound05Generator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
90,RBT,R_LSDEqBound05Generator,"RBT,miscolor_insert,test_prop_InsertValid",0.000713
91,RBT,R_LSDEqBound05Generator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
92,RBT,R_LSDEqBound05Generator,"RBT,miscolordelete,test_prop_DeleteValid",0.000602
93,RBT,R_LSDEqBound05Generator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.0016769999999999999
94,RBT,R_LSDEqBound05Generator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.004902999999999
95,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
96,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_DeleteInsert",0.029294999999999998
97,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_DeleteModel",60.0
98,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_DeletePost",60.0
99,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_DeleteValid",60.0
100,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_InsertDelete",0.02441
101,RBT,R_LSDEqBound05Generator,"RBT,swap_ad,test_prop_InsertInsert",0.003981
