LSDMayEqBound10Generatorx	LSDMayEqBound10Generatory	LSDThinGeneratorx	LSDThinGeneratory	TypeBasedGeneratorx	TypeBasedGeneratory
0	0	0	0	0	0
0.026498999999999003	1	0.032036999999999996	1	0.039827	1
0.031324000000000005	2	0.042005999999999995	2	0.051580999999999995	2
0.031913000000000004	3	0.05134300000000001	3	0.066733	3
0.037599	4	0.052542000000000005	4	0.077553	4
0.051265000000000005	5	0.061780999999999996	5	0.103338	5
0.056558000000000004	6	0.07112	6	0.11677499999999999	6
0.061686	7	0.074632999999999	7	0.12113199999999999	7
0.065743	8	0.080371	8	0.13656100000000002	8
0.070452	9	0.09842000000000001	9	0.141854999999999	9
0.08252200000000001	10	0.098622	10	0.146113	10
0.093641	11	0.106068	11	0.14907700000000002	11
0.098675	12	0.10688	12	0.183809	12
0.101983999999999	13	0.147702	13	0.289613	13
0.10342499999999999	14	0.19883299999999998	14	0.6058600000000001	14
0.106724	15	0.247879	15	0.9222889999999999	15
0.13208599999999998	16	0.31310699999999997	16	1.131267	16
0.140429	17	5.7750720000000015	17	10.902185	17
0.465541	18	8.249844999999999	18	14.322501	18
0.558068	19	9.990206	19	15.146048	19
0.960866	20	11.085762	20	21.872661	20
60	20	60	20	60	20
