,workload,strategy,task,time
0,RBT,RLSD6Generator,"RBT,delete_4,test_prop_DeleteValid",60.0
1,RBT,RLSD6Generator,"RBT,delete_5,test_prop_DeleteDelete",52.729231
2,RBT,RLSD6Generator,"RBT,delete_5,test_prop_DeleteInsert",0.013717
3,RBT,RLSD6Generator,"RBT,delete_5,test_prop_DeleteModel",0.379637
4,RBT,RLSD6Generator,"RBT,delete_5,test_prop_DeletePost",18.043170999999997
5,RBT,RLSD6Generator,"RBT,delete_5,test_prop_InsertDelete",1.023711
6,RBT,RLSD6Generator,"RBT,insert_1,test_prop_DeleteInsert",0.003993
7,RBT,RLSD6Generator,"RBT,insert_1,test_prop_InsertInsert",0.0008200000000000001
8,RBT,RLSD6Generator,"RBT,insert_1,test_prop_InsertModel",0.0036070000000000004
9,RBT,RLSD6Generator,"RBT,insert_1,test_prop_InsertPost",0.05183
10,RBT,RLSD6Generator,"RBT,insert_2,test_prop_DeleteInsert",0.14237000000000002
11,RBT,RLSD6Generator,"RBT,insert_2,test_prop_InsertDelete",0.192571
12,RBT,RLSD6Generator,"RBT,insert_2,test_prop_InsertInsert",0.001148
13,RBT,RLSD6Generator,"RBT,insert_2,test_prop_InsertModel",0.028645
14,RBT,RLSD6Generator,"RBT,insert_2,test_prop_InsertPost",0.143903
15,RBT,RLSD6Generator,"RBT,insert_3,test_prop_InsertDelete",0.269608
16,RBT,RLSD6Generator,"RBT,insert_3,test_prop_InsertInsert",0.005974999999999
17,RBT,RLSD6Generator,"RBT,insert_3,test_prop_InsertModel",0.12009900000000001
18,RBT,RLSD6Generator,"RBT,insert_3,test_prop_InsertPost",0.752853
19,RBT,RLSD6Generator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
20,RBT,RLSD6Generator,"RBT,miscolor_insert,test_prop_InsertValid",0.0031030000000000003
21,RBT,RLSD6Generator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
22,RBT,RLSD6Generator,"RBT,miscolordelete,test_prop_DeleteValid",0.027628
23,RBT,RLSD6Generator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.016503
24,RBT,RLSD6Generator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.039051999999999996
25,RBT,RLSD6Generator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
26,RBT,RLSD6Generator,"RBT,swap_ad,test_prop_DeleteInsert",8.876023
27,RBT,RLSD6Generator,"RBT,swap_ad,test_prop_DeleteModel",60.0
