TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	SLSDThinEqWellLR30Epochs700Bound10SPB200Generatorx	SLSDThinEqWellLR30Epochs700Bound10SPB200Generatory	SLSDThinEqWellLR30Epochs500Bound10SPB200Generatorx	SLSDThinEqWellLR30Epochs500Bound10SPB200Generatory	SLSDThinEqWellLR30Epochs700Bound10SPB50Generatorx	SLSDThinEqWellLR30Epochs700Bound10SPB50Generatory	SLSDThinEqWellLR30Epochs500Bound10SPB50Generatorx	SLSDThinEqWellLR30Epochs500Bound10SPB50Generatory
0	0	0	0	0	0	0	0	0	0	0	0
0.024440999999999997	1	0.035664	1	0.026143	1	0.035026999999999996	1	0.030462	1	0.025457999999999002	1
0.050582999999999004	2	0.039196	2	0.030787	2	0.037842	2	0.033818	2	0.037843999999999996	2
0.066205	3	0.045544	3	0.034898000000000005	3	0.038764	3	0.034508000000000004	3	0.040403999999999995	3
0.11442899999999999	4	0.050572000000000006	4	0.036937	4	0.043504999999999995	4	0.043230000000000005	4	0.041353999999999995	4
0.11484499999999999	5	0.052294	5	0.041236999999999996	5	0.046251999999999995	5	0.055498	5	0.053201	5
0.157926999999999	6	0.055625999999999995	6	0.055658	6	0.046528	6	0.058351999999999994	6	0.058110999999999004	6
0.16680299999999998	7	0.055642000000000004	7	0.061856999999999995	7	0.068214	7	0.059201000000000004	7	0.06548999999999901	7
0.16984700000000003	8	0.056581000000000006	8	0.062043999999999	8	0.077309	8	0.062056999999999994	8	0.067291	8
0.18498399999999998	9	0.056582999999999994	9	0.06400399999999999	9	0.09754900000000001	9	0.06433699999999999	9	0.075948	9
0.24820299999999998	10	0.072843999999999	10	0.075529	10	0.125118	10	0.07147099999999999	10	0.096261	10
0.24949000000000002	11	0.10115099999999999	11	0.093769999999999	11	0.132102	11	0.07589599999999999	11	0.11423799999999999	11
0.273626	12	0.130616999999999	12	0.100123999999999	12	0.17574299999999998	12	0.100338	12	0.121268	12
0.29950899999999997	13	0.138743	13	0.200875	13	0.17984699999999998	13	0.264441	13	0.14036500000000002	13
0.39789	14	0.19535000000000002	14	0.24516100000000002	14	0.46354000000000006	14	0.26687	14	0.23468499999999998	14
0.997007	15	0.5569890000000001	15	0.6072190000000001	15	0.5929840000000001	15	0.600737	15	0.23527	15
1.243172	16	0.765900999999999	16	0.7009329999999999	16	0.748383	16	0.6150869999999999	16	0.42484000000000005	16
3.673127	17	6.593866	17	3.007272	17	0.9309640000000001	17	4.2157029999999995	17	1.780435	17
13.082435	18	9.437803	18	3.282338	18	1.229134	18	4.250618	18	2.097393	18
16.697309	19	10.494441	19	3.3307029999999997	19	3.3963710000000003	19	6.7033000000000005	19	3.193502	19
17.988028999999997	20	12.174267	20	3.401166	20	5.454582999999999	20	8.382367	20	3.590714	20
60	20	60	20	60	20	60	20	60	20	60	20
