,workload,strategy,task,time
0,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteDelete",0.10856
1,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteInsert",0.00039099999999999996
2,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteModel",0.002588
3,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeletePost",0.006241999999999999
4,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteUnion",0.032552
5,BST,BSmallInitGenerator,"BST,delete_4,test_prop_InsertDelete",0.00076
6,BST,BSmallInitGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.0019370000000000001
7,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteDelete",0.038690999999999996
8,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteInsert",0.003884
9,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteModel",0.019746
10,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeletePost",0.053238
11,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteUnion",0.017776
12,BST,BSmallInitGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.016707999999999
13,BST,BSmallInitGenerator,"BST,insert_1,test_prop_DeleteInsert",0.001684
14,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertInsert",0.0012330000000000002
15,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertModel",0.0017410000000000001
16,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertPost",0.0044
17,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertUnion",0.0025069999999999997
18,BST,BSmallInitGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.004052
19,BST,BSmallInitGenerator,"BST,insert_2,test_prop_DeleteInsert",0.007638
20,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertDelete",0.010688000000000001
21,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertInsert",0.000512
22,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertModel",0.0023049999999999998
