TypeBasedGeneratorx	TypeBasedGeneratory	BSmallInitGeneratorx	BSmallInitGeneratory	BSmallTrainedGeneratorx	BSmallTrainedGeneratory
0	0	0	0	0	0
0.00032399999999999996	1	0.00024599999999999996	1	0.00016199999999999998	1
0.00046	2	0.000328	2	0.00016900000000000002	2
0.00047000000000000004	3	0.00039400000000000004	3	0.000174	3
0.0005189999999999999	4	0.00040500000000000003	4	0.000192	4
0.00054	5	0.00044	5	0.00019600000000000002	5
0.00055	6	0.0005239999999999999	6	0.000205	6
0.0005600000000000001	7	0.00055	7	0.00022700000000000002	7
0.00058	8	0.0006900000000000001	8	0.000257	8
0.000583	9	0.000695	9	0.00025800000000000004	9
0.0005909999999990001	10	0.0007700000000000001	10	0.00026000000000000003	10
0.00062	11	0.0007869999999999999	11	0.000268	11
0.0006600000000000001	12	0.00088	12	0.00034300000000000004	12
0.0006600000000000001	13	0.00092	13	0.00035000000000000005	13
0.0006900000000000001	14	0.0010559999999999999	14	0.000361	14
0.0007289999999999999	15	0.001158	15	0.00039799999999999997	15
0.0007559999999999999	16	0.0012959999999999998	16	0.00040600000000000006	16
0.000767	17	0.001746	17	0.000416	17
0.00084	18	0.002133	18	0.00043400000000000003	18
0.0008600000000000001	19	0.0021379999999999997	19	0.00045900000000000004	19
0.001039	20	0.002241	20	0.000494	20
0.001188	21	0.0024389999999999998	21	0.0004969999999999999	21
0.001222	22	0.002835	22	0.0005110000000000001	22
0.0012300000000000002	23	0.003218	23	0.0005279999999999999	23
0.00124	24	0.003936999999999	24	0.0005510000000000001	24
0.0013369999999999999	25	0.004359	25	0.0005600000000000001	25
0.001591	26	0.004508	26	0.000601	26
0.001609	27	0.0045650000000000005	27	0.0006129999999999999	27
0.001682	28	0.004732	28	0.000628	28
0.0017170000000000002	29	0.005058	29	0.000632	29
0.0018740000000000002	30	0.005353	30	0.0006500000000000001	30
0.002384	31	0.005732	31	0.0007300000000000001	31
0.002476	32	0.006445999999999	32	0.0007400000000000001	32
0.0026920000000000004	33	0.006457	33	0.000859	33
0.003281	34	0.008432	34	0.000888	34
0.0056170000000000005	35	0.012093999999999001	35	0.000946	35
0.008624999999999999	36	0.014383	36	0.000998	36
0.009276	37	0.014662999999999999	37	0.001178	37
0.010829	38	0.015583999999999999	38	0.0012050000000000001	38
0.013519	39	0.015872	39	0.001351	39
0.013797	40	0.016485	40	0.001539	40
0.015910999999999998	41	0.018059000000000002	41	0.0015689999999999999	41
0.020325	42	0.026328999999999998	42	0.0017959999999999999	42
0.027835000000000002	43	0.026431000000000003	43	0.0019500000000000001	43
0.02919	44	0.026643	44	0.0023510000000000002	44
0.037590000000000005	45	0.027410999999999998	45	0.002457	45
0.05225200000000001	46	0.031598999999999995	46	0.00411	46
0.053210999999999994	47	0.055854999999999	47	0.004278	47
0.139266	48	0.14044399999999901	48	0.006078	48
0.401298999999999	49	0.21526900000000002	49	0.008735999999999999	49
60	49	60	49	60	49
