,workload,strategy,task,time
0,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteDelete",0.070691999999999
1,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteInsert",0.001085
2,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteModel",0.000983
3,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeletePost",0.009930000000000001
4,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteUnion",0.035391
5,BST,BSmallInitGenerator,"BST,delete_4,test_prop_InsertDelete",0.0008700000000000001
6,BST,BSmallInitGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.003767
7,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteDelete",0.043432000000000005
8,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteInsert",0.007169
9,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteModel",0.013484999999999999
10,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeletePost",0.065969
11,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteUnion",0.047101
12,BST,BSmallInitGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.028555999999999998
13,BST,BSmallInitGenerator,"BST,insert_1,test_prop_DeleteInsert",0.002049
14,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertInsert",0.0011890000000000002
15,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertModel",0.001682
16,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertPost",0.004249
17,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertUnion",0.003926000000000001
18,BST,BSmallInitGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.0012029999999999999
19,BST,BSmallInitGenerator,"BST,insert_2,test_prop_DeleteInsert",0.011615
20,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertDelete",0.007352999999999999
21,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertInsert",0.0009500000000000001
22,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertModel",0.0031230000000000003
23,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertPost",0.005357000000000001
24,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertUnion",0.007925
25,BST,BSmallInitGenerator,"BST,insert_2,test_prop_UnionDeleteInsert",0.006457
26,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertDelete",0.019434999999999
27,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertInsert",0.002637
28,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertModel",0.0040809999999999996
29,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertPost",0.022796999999999998
30,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertUnion",0.021840000000000002
31,BST,BSmallInitGenerator,"BST,insert_3,test_prop_UnionDeleteInsert",0.011101000000000001
32,BST,BSmallInitGenerator,"BST,union_6,test_prop_DeleteUnion",0.033904000000000004
33,BST,BSmallInitGenerator,"BST,union_6,test_prop_InsertUnion",0.0048119999999999994
34,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionDeleteInsert",0.003574
35,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionModel",0.009989000000000001
36,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionUnionIdem",0.00084
37,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionValid",0.015375
38,BST,BSmallInitGenerator,"BST,union_7,test_prop_DeleteUnion",0.061176999999999995
39,BST,BSmallInitGenerator,"BST,union_7,test_prop_InsertUnion",0.013446999999999001
40,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionDeleteInsert",0.01802
41,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionModel",0.030036000000000004
42,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionUnionAssoc",0.058085000000000005
43,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionValid",0.019899999999999002
44,BST,BSmallInitGenerator,"BST,union_8,test_prop_DeleteUnion",0.7425579999999999
45,BST,BSmallInitGenerator,"BST,union_8,test_prop_InsertUnion",0.029013999999999998
46,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionDeleteInsert",1.572354
47,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionModel",0.089975
48,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionUnionAssoc",0.184327
49,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_DeleteDelete",0.014008
50,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_DeleteInsert",0.000944
51,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_DeleteModel",0.0005700000000000001
52,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_DeletePost",0.002404
53,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_DeleteUnion",0.003084
54,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_InsertDelete",0.00039400000000000004
55,BST,BSmallTrainedGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.0016120000000000002
56,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_DeleteDelete",0.011160999999999002
57,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_DeleteInsert",0.0007980000000000001
58,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_DeleteModel",0.004404
59,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_DeletePost",0.012123
60,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_DeleteUnion",0.005018
61,BST,BSmallTrainedGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.008059
62,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_DeleteInsert",0.000669
63,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_InsertInsert",0.0009400000000000001
64,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_InsertModel",0.0007700000000000001
65,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_InsertPost",0.001153
66,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_InsertUnion",0.002033
67,BST,BSmallTrainedGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.001153999999999
68,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_DeleteInsert",0.0011710000000000002
69,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_InsertDelete",0.002016
70,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_InsertInsert",0.0009699999999990001
71,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_InsertModel",0.0019190000000000001
72,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_InsertPost",0.0017289999999999999
73,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_InsertUnion",0.008463
74,BST,BSmallTrainedGenerator,"BST,insert_2,test_prop_UnionDeleteInsert",0.0026049999999999997
75,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_InsertDelete",0.001563
76,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_InsertInsert",0.0023780000000000003
77,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_InsertModel",0.001300999999999
78,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_InsertPost",0.0046
79,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_InsertUnion",0.0041600000000000005
80,BST,BSmallTrainedGenerator,"BST,insert_3,test_prop_UnionDeleteInsert",0.0010119999999999999
81,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_DeleteUnion",0.0045509999999999995
82,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_InsertUnion",0.003355
83,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_UnionDeleteInsert",0.00046
84,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_UnionModel",0.0008030000000000001
85,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_UnionUnionIdem",0.00099
86,BST,BSmallTrainedGenerator,"BST,union_6,test_prop_UnionValid",0.0016979999999999999
87,BST,BSmallTrainedGenerator,"BST,union_7,test_prop_DeleteUnion",0.003074
88,BST,BSmallTrainedGenerator,"BST,union_7,test_prop_InsertUnion",0.0032500000000000003
89,BST,BSmallTrainedGenerator,"BST,union_7,test_prop_UnionDeleteInsert",0.001629
