TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	SLSDThinEqWellLR30Bound10Generatorx	SLSDThinEqWellLR30Bound10Generatory
0	0	0	0	0	0
0.045111	1	0.022071999999999998	1	0.013401	1
0.048820999999999004	2	0.039370999999999996	2	0.013864999999999999	2
0.055125999999999994	3	0.049983	3	0.019095	3
0.08329199999999999	4	0.06250499999999999	4	0.020121999999999998	4
0.08696200000000001	5	0.063751	5	0.02525	5
0.087291	6	0.073771	6	0.029054	6
0.114076	7	0.08193399999999901	7	0.031543	7
0.127858	8	0.085	8	0.031578999999999996	8
0.13520500000000002	9	0.09601000000000001	9	0.03227	9
0.18171299999999901	10	0.096817	10	0.033073	10
0.207451	11	0.10863199999999999	11	0.033791999999999996	11
0.21973800000000002	12	0.140574	12	0.040665	12
0.45473399999999903	13	0.19873400000000002	13	0.12130400000000001	13
0.47139400000000004	14	0.36826400000000004	14	0.14346399999999998	14
0.8179329999999999	15	0.39461900000000005	15	0.309328	15
0.9700329999999999	16	0.41285099999999997	16	0.31768199999999996	16
7.94783	17	3.365855	17	0.861109	17
13.757276000000001	18	4.335669	18	1.091894	18
14.03821	19	6.225720000000001	19	1.8303019999999992	19
14.881632	20	6.944051000000001	20	2.776249	20
60	20	60	20	60	20
