TypeBasedGeneratorx	TypeBasedGeneratory	RLSDThinSmallGeneratorx	RLSDThinSmallGeneratory	RLSDThinEqSmallGeneratorx	RLSDThinEqSmallGeneratory
0	0	0	0	0	0
0.000204	1	0.00022500000000000002	1	0.000118	1
0.000281	2	0.0005809999999990001	2	0.00012000000000000002	2
0.000312	3	0.0006820000000000001	3	0.000127	3
0.0005809999999990001	4	0.0008309999999990001	4	0.000214	4
0.0008100000000000001	5	0.000971	5	0.00022	5
0.0008700000000000001	6	0.0011300000000000001	6	0.00025800000000000004	6
0.000897	7	0.0012209999999999999	7	0.000287	7
0.00092	8	0.002781	8	0.00047799999999900006	8
0.0009320000000000001	9	0.0037329999999999998	9	0.000483	9
0.0018059999999999999	10	0.0038490000000000004	10	0.0005200000000000001	10
0.0019089999999999999	11	0.004742	11	0.0007949999999999999	11
0.002149	12	0.006285000000000001	12	0.0009360000000000001	12
0.002402	13	0.007117999999999999	13	0.000967	13
0.0026739999999999997	14	0.010629	14	0.001328999999999	14
0.005797999999999999	15	0.011002999999999999	15	0.0018000000000000002	15
0.010498	16	0.015052999999999999	16	0.0018759999999990002	16
0.01574	17	0.015712	17	0.001984	17
0.026053	18	0.016498000000000002	18	0.002974	18
0.032039000000000005	19	0.025653	19	0.0034700000000000004	19
0.035268	20	0.036558	20	0.003538	20
0.060780999999999995	21	0.050193999999999996	21	0.005286	21
0.11620499999999999	22	0.14494200000000002	22	0.007246000000000001	22
0.227670999999999	23	0.146539	23	0.008869	23
0.49952199999999997	24	0.192582	24	0.008975	24
0.674901	25	0.23866700000000002	25	0.021907	25
1.904363	26	0.410217	26	0.026684000000000003	26
2.042253	27	0.9115749999999999	27	0.028489	27
4.544640999999999	28	1.340193	28	0.064229	28
60	28	60	28	60	28
