,workload,strategy,task,time
0,RBT,RLSDThinEqSmallGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
1,RBT,RLSDThinEqSmallGenerator,"RBT,delete_5,test_prop_DeleteDelete",0.049523000000000005
2,RBT,RLSDThinEqSmallGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.0007400000000000001
3,RBT,RLSDThinEqSmallGenerator,"RBT,delete_5,test_prop_DeleteModel",0.008830000000000001
4,RBT,RLSDThinEqSmallGenerator,"RBT,delete_5,test_prop_DeletePost",0.06598799999999999
5,RBT,RLSDThinEqSmallGenerator,"RBT,delete_5,test_prop_InsertDelete",0.021494
6,RBT,RLSDThinEqSmallGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.0009500000000000001
7,RBT,RLSDThinEqSmallGenerator,"RBT,insert_1,test_prop_InsertInsert",0.0006730000000000001
8,RBT,RLSDThinEqSmallGenerator,"RBT,insert_1,test_prop_InsertModel",0.000202
9,RBT,RLSDThinEqSmallGenerator,"RBT,insert_1,test_prop_InsertPost",0.00495
10,RBT,RLSDThinEqSmallGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.006017000000000001
11,RBT,RLSDThinEqSmallGenerator,"RBT,insert_2,test_prop_InsertDelete",0.0077080000000000004
12,RBT,RLSDThinEqSmallGenerator,"RBT,insert_2,test_prop_InsertInsert",0.00092
13,RBT,RLSDThinEqSmallGenerator,"RBT,insert_2,test_prop_InsertModel",0.002385
14,RBT,RLSDThinEqSmallGenerator,"RBT,insert_2,test_prop_InsertPost",0.006731
15,RBT,RLSDThinEqSmallGenerator,"RBT,insert_3,test_prop_InsertDelete",0.023191
16,RBT,RLSDThinEqSmallGenerator,"RBT,insert_3,test_prop_InsertInsert",0.001317
17,RBT,RLSDThinEqSmallGenerator,"RBT,insert_3,test_prop_InsertModel",0.002412999999999
18,RBT,RLSDThinEqSmallGenerator,"RBT,insert_3,test_prop_InsertPost",0.007611
19,RBT,RLSDThinEqSmallGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
20,RBT,RLSDThinEqSmallGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.000323
21,RBT,RLSDThinEqSmallGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
22,RBT,RLSDThinEqSmallGenerator,"RBT,miscolordelete,test_prop_DeleteValid",0.0014910000000000001
23,RBT,RLSDThinEqSmallGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.004868000000000001
24,RBT,RLSDThinEqSmallGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.0013180000000000002
25,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
26,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_DeleteInsert",0.07001600000000001
27,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_DeleteModel",60.0
28,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_DeletePost",60.0
29,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_DeleteValid",60.0
30,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_InsertDelete",0.07788500000000001
31,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_InsertInsert",0.0076939999999999995
32,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_InsertModel",0.015111999999999999
33,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_InsertPost",0.093683
34,RBT,RLSDThinEqSmallGenerator,"RBT,swap_ad,test_prop_InsertValid",0.021738999999999998
35,RBT,RLSDThinSmallGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
36,RBT,RLSDThinSmallGenerator,"RBT,delete_5,test_prop_DeleteDelete",0.560157
37,RBT,RLSDThinSmallGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.014407999999999001
38,RBT,RLSDThinSmallGenerator,"RBT,delete_5,test_prop_DeleteModel",0.112829
39,RBT,RLSDThinSmallGenerator,"RBT,delete_5,test_prop_DeletePost",0.55123
40,RBT,RLSDThinSmallGenerator,"RBT,delete_5,test_prop_InsertDelete",0.059130999999999996
41,RBT,RLSDThinSmallGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.006304000000000001
42,RBT,RLSDThinSmallGenerator,"RBT,insert_1,test_prop_InsertInsert",0.001776
43,RBT,RLSDThinSmallGenerator,"RBT,insert_1,test_prop_InsertModel",0.0018460000000000002
44,RBT,RLSDThinSmallGenerator,"RBT,insert_1,test_prop_InsertPost",0.015456999999999999
45,RBT,RLSDThinSmallGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.023864
46,RBT,RLSDThinSmallGenerator,"RBT,insert_2,test_prop_InsertDelete",0.035442999999999
47,RBT,RLSDThinSmallGenerator,"RBT,insert_2,test_prop_InsertInsert",0.0016510000000000001
48,RBT,RLSDThinSmallGenerator,"RBT,insert_2,test_prop_InsertModel",0.007158999999999
49,RBT,RLSDThinSmallGenerator,"RBT,insert_2,test_prop_InsertPost",0.01759
50,RBT,RLSDThinSmallGenerator,"RBT,insert_3,test_prop_InsertDelete",0.088601
51,RBT,RLSDThinSmallGenerator,"RBT,insert_3,test_prop_InsertInsert",0.0047669999999999995
52,RBT,RLSDThinSmallGenerator,"RBT,insert_3,test_prop_InsertModel",0.012038
53,RBT,RLSDThinSmallGenerator,"RBT,insert_3,test_prop_InsertPost",0.065479
54,RBT,RLSDThinSmallGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
55,RBT,RLSDThinSmallGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.0031320000000000002
56,RBT,RLSDThinSmallGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
57,RBT,RLSDThinSmallGenerator,"RBT,miscolordelete,test_prop_DeleteValid",0.012577999999999001
58,RBT,RLSDThinSmallGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.021311999999999998
59,RBT,RLSDThinSmallGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.006835
60,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_DeleteDelete",60.0
61,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_DeleteInsert",1.339694
62,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_DeleteModel",60.0
63,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_DeletePost",60.0
64,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_DeleteValid",60.0
65,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_InsertDelete",7.678719
66,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_InsertInsert",0.037080999999999996
67,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_InsertModel",0.6063590000000001
68,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_InsertPost",4.933254
69,RBT,RLSDThinSmallGenerator,"RBT,swap_ad,test_prop_InsertValid",0.379245
70,RBT,TypeBasedGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
71,RBT,TypeBasedGenerator,"RBT,delete_5,test_prop_DeleteDelete",1.107686
72,RBT,TypeBasedGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.004259000000000001
73,RBT,TypeBasedGenerator,"RBT,delete_5,test_prop_DeleteModel",0.075344
74,RBT,TypeBasedGenerator,"RBT,delete_5,test_prop_DeletePost",3.358155
75,RBT,TypeBasedGenerator,"RBT,delete_5,test_prop_InsertDelete",0.07351099999999901
76,RBT,TypeBasedGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.029450000000000004
77,RBT,TypeBasedGenerator,"RBT,insert_1,test_prop_InsertInsert",0.0009699999999990001
78,RBT,TypeBasedGenerator,"RBT,insert_1,test_prop_InsertModel",0.00092
79,RBT,TypeBasedGenerator,"RBT,insert_1,test_prop_InsertPost",0.003885
80,RBT,TypeBasedGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.018363
81,RBT,TypeBasedGenerator,"RBT,insert_2,test_prop_InsertDelete",0.015196999999999001
82,RBT,TypeBasedGenerator,"RBT,insert_2,test_prop_InsertInsert",0.0009699999999990001
83,RBT,TypeBasedGenerator,"RBT,insert_2,test_prop_InsertModel",0.004057000000000001
84,RBT,TypeBasedGenerator,"RBT,insert_2,test_prop_InsertPost",0.009907000000000001
85,RBT,TypeBasedGenerator,"RBT,insert_3,test_prop_InsertDelete",0.114161
86,RBT,TypeBasedGenerator,"RBT,insert_3,test_prop_InsertInsert",0.0037489999999999997
87,RBT,TypeBasedGenerator,"RBT,insert_3,test_prop_InsertModel",0.016881
88,RBT,TypeBasedGenerator,"RBT,insert_3,test_prop_InsertPost",0.071973
