BespokeGeneratorx	BespokeGeneratory	B51Generatorx	B51Generatory	B51AceGeneratorx	B51AceGeneratory	B51SEGeneratorx	B51SEGeneratory	MoreSamplesGeneratorx	MoreSamplesGeneratory	MoreEpochsGeneratorx	MoreEpochsGeneratory
0	0	0	0	0	0	0	0	0	0	0	0
0.004465	1	0.0034100000000000003	1	0.0017159999999999999	1	0.0062180000000000004	1	0.0033179999999999998	1	0.006712999999999999	1
0.004686	2	0.0034300000000000003	2	0.002003	2	0.025917000000000003	2	0.013784999999999999	2	0.024658000000000003	2
0.008003	3	0.003436	3	0.002779	3	0.029914999999999997	3	0.019115999999999998	3	0.027745000000000002	3
0.008943	4	0.003485	4	0.003009999999999	4	0.032624	4	0.022369	4	0.030854999999999997	4
0.009531000000000001	5	0.0035589999999999997	5	0.004025	5	0.041014999999999996	5	0.026319	5	0.031574000000000005	5
0.009953	6	0.004717	6	0.004222	6	0.048857	6	0.029967999999999998	6	0.031983000000000004	6
0.010811999999999999	7	0.005155000000000001	7	0.004357000000000001	7	0.058447000000000006	7	0.034851999999999	7	0.047271999999999995	7
0.011229	8	0.00881	8	0.004615	8	0.060203000000000007	8	0.058574999999999995	8	0.048118	8
0.013661999999999999	9	0.009082999999999999	9	0.004619	9	0.082709999999999	9	0.060277000000000004	9	0.061168999999999994	9
0.017355000000000002	10	0.009479	10	0.004652	10	0.09233899999999999	10	0.07588800000000001	10	0.08554600000000001	10
0.018199	11	0.010457000000000001	11	0.004919	11	0.106392	11	0.078678	11	0.105908	11
0.019216	12	0.011231999999999001	12	0.006108	12	0.154138	12	0.084483	12	0.131767	12
0.039048	13	0.06043200000000001	13	0.046139000000000006	13	1.355467	13	0.6858949999999999	13	1.124103	13
0.063071	14	0.06768199999999999	14	0.050048999999999996	14	1.573618	14	1.138214	14	1.949315	14
0.06733700000000001	15	0.101639	15	0.07677099999999999	15	6.4608229999999995	15	3.701735	15	11.351628999999999	15
0.088423	16	0.105291	16	0.081948	16	8.288281999999999	16	7.5687380000000015	16	18.10556	16
0.131319	17	0.15989499999999998	17	0.08448800000000001	17	12.243991	17	8.647423000000002	17	22.291504	17
0.27399799999999996	18	0.20341299999999998	18	0.09489199999999999	18	15.723538000000001	18	8.719983000000001	18	26.036339	18
0.345578	19	0.234339	19	0.118639	19	21.056017	19	11.090404000000001	19	35.435837	19
0.453018	20	0.31743499999999997	20	0.137458	20	35.089475	20	13.924121	20	38.313224000000005	20
60	20	60	20	60	20	60	20	60	20	60	20
