TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	SLSDStack1ThinEqWellLR30Epochs500Bound10Freq1SPB50Generatorx	SLSDStack1ThinEqWellLR30Epochs500Bound10Freq1SPB50Generatory	SLSDStack1ThinEqWellLR30Epochs500Bound10Freq2SPB50Generatorx	SLSDStack1ThinEqWellLR30Epochs500Bound10Freq2SPB50Generatory
0	0	0	0	0	0	0	0
0.05271000000000001	1	0.039019	1	0.030196999999999002	1	0.01839	1
0.059241999999999004	2	0.044746	2	0.03021	2	0.024478000000000003	2
0.063248	3	0.061598	3	0.030286999999999002	3	0.034927	3
0.078221	4	0.062287999999999004	4	0.039222	4	0.038846	4
0.100229	5	0.06445000000000001	5	0.041399000000000005	5	0.043246	5
0.10638500000000001	6	0.064974	6	0.04188	6	0.051066999999999994	6
0.11011900000000001	7	0.066677	7	0.043051000000000006	7	0.053110000000000004	7
0.119601	8	0.06715800000000001	8	0.054551999999999996	8	0.053253999999999004	8
0.145422	9	0.072921	9	0.059951000000000004	9	0.053910000000000007	9
0.14549299999999998	10	0.07671499999999999	10	0.064095	10	0.056155000000000004	10
0.234003	11	0.07758100000000001	11	0.069593999999999	11	0.071150999999999	11
0.292082	12	0.080103	12	0.076141	12	0.073714	12
0.42416000000000004	13	0.292692	13	0.25299499999999997	13	0.077788	13
0.429365999999999	14	0.38504099999999997	14	0.37284799999999996	14	0.10757800000000001	14
0.46563600000000005	15	0.41727800000000004	15	0.39509099999999997	15	0.201185	15
0.635915	16	0.748502	16	0.42410899999999996	16	0.215977	16
5.816282	17	3.310066	17	0.7822479999999999	17	0.474524	17
7.468405	18	5.425	18	1.285477	18	1.265662	18
15.093315	19	6.594712	19	3.904309	19	1.836571999999999	19
17.585874	20	7.42319	20	4.343369	20	1.9404270000000001	20
60	20	60	20	60	20	60	20
