TypeBasedGeneratorx	TypeBasedGeneratory	LSDThinGeneratorx	LSDThinGeneratory	STLC10MGeneratorx	STLC10MGeneratory
0	0	0	0	0	0
0.08136499999999901	1	0.043422999999999996	1	0.016756999999999998	1
0.08495899999999999	2	0.046917999999999994	2	0.020241	2
0.085221999999999	3	0.050343000000000006	3	0.022052	3
0.085441999999999	4	0.055203999999999996	4	0.023128	4
0.11477799999999999	5	0.056692	5	0.024080999999999998	5
0.14091599999999999	6	0.060242	6	0.024369000000000002	6
0.156629	7	0.06756899999999999	7	0.025223	7
0.168928	8	0.0732	8	0.02807	8
0.17501899999999998	9	0.084622	9	0.032878	9
0.183135	10	0.0889	10	0.039216	10
0.203634999999999	11	0.10939099999999999	11	0.039601	11
0.524965	12	0.12553799999999998	12	0.042660000000000003	12
0.569964	13	0.264067999999999	13	0.095346	13
0.8979360000000001	14	0.363666	14	0.17921499999999999	14
9.294776	15	0.38443299999999997	15	0.220409	15
14.353959999999999	16	0.385578	16	0.22346700000000003	16
14.439798000000001	17	3.772029	17	0.8543449999999999	17
16.955711	18	4.291472	18	0.892809	18
60	18	7.515861	19	1.107724999999999	19
		9.432349	20	1.612615	20
		60	20	60	20
