TypeBasedGeneratorx	TypeBasedGeneratory	BSmallInitGeneratorx	BSmallInitGeneratory	LSDBSTFastGeneratorx	LSDBSTFastGeneratory
0	0	0	0	0	0
0.000216	1	0.00032900000000000003	1	0.00014299999999900002	1
0.00045200000000000004	2	0.00039900000000000005	2	0.000155	2
0.00046	3	0.0005300000000000001	3	0.000178	3
0.0005	4	0.000549	4	0.00017999999999900002	4
0.0005189999999999999	5	0.0005549999999999999	5	0.00019800000000000002	5
0.0005600000000000001	6	0.0006000000000000001	6	0.000224	6
0.000593	7	0.000694	7	0.00023	7
0.0006100000000000001	8	0.00071	8	0.000248	8
0.0006180000000000001	9	0.0007400000000000001	9	0.000261	9
0.00067	10	0.0007970000000000001	10	0.000297	10
0.0006789999999999999	11	0.0008700000000000001	11	0.000307	11
0.0006860000000000001	12	0.0008719999999999999	12	0.000319	12
0.0007199999999990001	13	0.0009280000000000001	13	0.000368	13
0.0007459999999999999	14	0.001013	14	0.00037000000000000005	14
0.0007700000000000001	15	0.001310999999999	15	0.00039000000000000005	15
0.0008	16	0.0017350000000000002	16	0.00040100000000000004	16
0.0008950000000000001	17	0.0018939999999990002	17	0.000439	17
0.0009220000000000001	18	0.0021089999999999998	18	0.000504	18
0.0009310000000000001	19	0.002386	19	0.0005160000000000001	19
0.0009370000000000001	20	0.0025919999999999997	20	0.0005290000000000001	20
0.001085	21	0.002691	21	0.0005329999999999999	21
0.001156	22	0.0031000000000000003	22	0.000535	22
0.0012029999999999999	23	0.0032359999999999997	23	0.0005629999999990001	23
0.001321	24	0.003251	24	0.000571	24
0.001369	25	0.0032890000000000003	25	0.000638	25
0.0014860000000000001	26	0.0037579999999999996	26	0.0007930000000000001	26
0.0015849999999999998	27	0.004076	27	0.0008100000000000001	27
0.0016749999999999998	28	0.004378	28	0.0008860000000000001	28
0.001913	29	0.004521	29	0.000972	29
0.002048	30	0.004951	30	0.00102	30
0.002332	31	0.004971000000000001	31	0.001024999999999	31
0.003062	32	0.005151	32	0.001062	32
0.004817	33	0.005307	33	0.001121	33
0.004919	34	0.007090000000000001	34	0.001178	34
0.004955	35	0.008454999999999999	35	0.0011990000000000002	35
0.007320000000000001	36	0.008676	36	0.001245	36
0.009293	37	0.009403	37	0.0013189999999999999	37
0.011162	38	0.011453	38	0.001356	38
0.015042999999999002	39	0.011916000000000001	39	0.001418	39
0.017331	40	0.012745999999999999	40	0.001821	40
0.018542000000000003	41	0.013146999999999999	41	0.001825	41
0.018623	42	0.015259	42	0.0019450000000000001	42
0.028419	43	0.016978	43	0.0021160000000000003	43
0.033485	44	0.017662999999999998	44	0.002118	44
0.037558999999999	45	0.033715	45	0.0032440000000000004	45
0.074200999999999	46	0.039893000000000005	46	0.006390000000000001	46
0.10892700000000001	47	0.061894	47	0.006705	47
0.167883	48	0.10638399999999999	48	0.006705	48
0.351191	49	0.28574700000000003	49	0.009238	49
60	49	60	49	60	49
