,workload,strategy,task,time
0,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteDelete",0.13450800000000002
1,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteInsert",0.0014759999999999999
2,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteModel",0.0011769999999999999
3,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeletePost",0.004426999999999
4,BST,BSmallInitGenerator,"BST,delete_4,test_prop_DeleteUnion",0.036955999999999996
5,BST,BSmallInitGenerator,"BST,delete_4,test_prop_InsertDelete",0.0009429999999990001
6,BST,BSmallInitGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.002593
7,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteDelete",0.038297
8,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteInsert",0.002585
9,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteModel",0.010466999999999999
10,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeletePost",0.04843
11,BST,BSmallInitGenerator,"BST,delete_5,test_prop_DeleteUnion",0.035401999999999996
12,BST,BSmallInitGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.027662
13,BST,BSmallInitGenerator,"BST,insert_1,test_prop_DeleteInsert",0.004161
14,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertInsert",0.0009600000000000001
15,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertModel",0.001671999999999
16,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertPost",0.006031
17,BST,BSmallInitGenerator,"BST,insert_1,test_prop_InsertUnion",0.0035670000000000003
18,BST,BSmallInitGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.005366
19,BST,BSmallInitGenerator,"BST,insert_2,test_prop_DeleteInsert",0.0070539999999999995
20,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertDelete",0.011226000000000002
21,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertInsert",0.001127
22,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertModel",0.004778999999999999
23,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertPost",0.008704
24,BST,BSmallInitGenerator,"BST,insert_2,test_prop_InsertUnion",0.0043170000000000005
25,BST,BSmallInitGenerator,"BST,insert_2,test_prop_UnionDeleteInsert",0.0049440000000000005
26,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertDelete",0.030194
27,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertInsert",0.0011140000000000002
28,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertModel",0.004595999999999999
29,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertPost",0.017705
30,BST,BSmallInitGenerator,"BST,insert_3,test_prop_InsertUnion",0.007424000000000001
31,BST,BSmallInitGenerator,"BST,insert_3,test_prop_UnionDeleteInsert",0.013051
32,BST,BSmallInitGenerator,"BST,union_6,test_prop_DeleteUnion",0.036417000000000005
33,BST,BSmallInitGenerator,"BST,union_6,test_prop_InsertUnion",0.0040809999999999996
34,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionDeleteInsert",0.00517
35,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionModel",0.014613999999999999
36,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionUnionIdem",0.0011669999999999999
37,BST,BSmallInitGenerator,"BST,union_6,test_prop_UnionValid",0.011040999999999999
38,BST,BSmallInitGenerator,"BST,union_7,test_prop_DeleteUnion",0.074071
39,BST,BSmallInitGenerator,"BST,union_7,test_prop_InsertUnion",0.013179
40,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionDeleteInsert",0.014282
41,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionModel",0.023105999999999998
42,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionUnionAssoc",0.077815
43,BST,BSmallInitGenerator,"BST,union_7,test_prop_UnionValid",0.022015
44,BST,BSmallInitGenerator,"BST,union_8,test_prop_DeleteUnion",0.38211700000000004
45,BST,BSmallInitGenerator,"BST,union_8,test_prop_InsertUnion",0.027167999999999998
46,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionDeleteInsert",0.5206109999999999
47,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionModel",0.056561999999999994
48,BST,BSmallInitGenerator,"BST,union_8,test_prop_UnionUnionAssoc",0.16081800000000002
49,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_DeleteDelete",0.014787000000000002
50,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_DeleteInsert",0.0006730000000000001
51,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_DeleteModel",0.00099
52,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_DeletePost",0.001718
53,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_DeleteUnion",0.004097
54,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_InsertDelete",0.00088
55,BST,LSDBSTFastGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.0018909999999999999
56,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_DeleteDelete",0.010832999999999999
57,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_DeleteInsert",0.0014110000000000001
58,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_DeleteModel",0.005693999999999999
59,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_DeletePost",0.010794000000000002
60,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_DeleteUnion",0.00636
61,BST,LSDBSTFastGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.008780000000000001
62,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_DeleteInsert",0.00051
63,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_InsertInsert",0.0006619999999999999
64,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_InsertModel",0.0007300000000000001
65,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_InsertPost",0.0021720000000000003
66,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_InsertUnion",0.001044
67,BST,LSDBSTFastGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.001072
68,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_DeleteInsert",0.004385
69,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_InsertDelete",0.0032370000000000003
70,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_InsertInsert",0.000828
71,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_InsertModel",0.001125999999999
72,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_InsertPost",0.001496
73,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_InsertUnion",0.010215
74,BST,LSDBSTFastGenerator,"BST,insert_2,test_prop_UnionDeleteInsert",0.002846
75,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_InsertDelete",0.003279
76,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_InsertInsert",0.002794
77,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_InsertModel",0.002402
78,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_InsertPost",0.00538
79,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_InsertUnion",0.003408999999999
80,BST,LSDBSTFastGenerator,"BST,insert_3,test_prop_UnionDeleteInsert",0.002806
81,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_DeleteUnion",0.004328999999999
82,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_InsertUnion",0.00283
83,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_UnionDeleteInsert",0.000638
84,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_UnionModel",0.0012820000000000002
85,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_UnionUnionIdem",0.0009699999999990001
86,BST,LSDBSTFastGenerator,"BST,union_6,test_prop_UnionValid",0.001232
87,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_DeleteUnion",0.005020999999999999
88,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_InsertUnion",0.0025
89,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_UnionDeleteInsert",0.002657
90,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_UnionModel",0.001542999999999
91,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_UnionUnionAssoc",0.0031880000000000003
92,BST,LSDBSTFastGenerator,"BST,union_7,test_prop_UnionValid",0.0018620000000000002
93,BST,LSDBSTFastGenerator,"BST,union_8,test_prop_DeleteUnion",0.017086
94,BST,LSDBSTFastGenerator,"BST,union_8,test_prop_InsertUnion",0.004934999999999
95,BST,LSDBSTFastGenerator,"BST,union_8,test_prop_UnionDeleteInsert",0.01759
96,BST,LSDBSTFastGenerator,"BST,union_8,test_prop_UnionModel",0.005880000000000001
97,BST,LSDBSTFastGenerator,"BST,union_8,test_prop_UnionUnionAssoc",0.005369
98,BST,TypeBasedGenerator,"BST,delete_4,test_prop_DeleteDelete",0.30307100000000003
99,BST,TypeBasedGenerator,"BST,delete_4,test_prop_DeleteInsert",0.0009699999999990001
100,BST,TypeBasedGenerator,"BST,delete_4,test_prop_DeleteModel",0.00092
101,BST,TypeBasedGenerator,"BST,delete_4,test_prop_DeletePost",0.0024980000000000002
102,BST,TypeBasedGenerator,"BST,delete_4,test_prop_DeleteUnion",0.026062000000000002
103,BST,TypeBasedGenerator,"BST,delete_4,test_prop_InsertDelete",0.0006600000000000001
104,BST,TypeBasedGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.0029990000000000004
