TypeBasedGeneratorx	TypeBasedGeneratory	RLSDThinSmallGeneratorx	RLSDThinSmallGeneratory	LSDRBTFastGeneratorx	LSDRBTFastGeneratory
0	0	0	0	0	0
0.000124	1	0.000272	1	0.000122	1
0.000185	2	0.0004	2	0.00013099999999999999	2
0.000194	3	0.0005430000000000001	3	0.00017	3
0.000361	4	0.0006640000000000001	4	0.00018800000000000002	4
0.000504	5	0.0008100000000000001	5	0.00027800000000000004	5
0.000732	6	0.0012350000000000002	6	0.000314	6
0.00076	7	0.002711	7	0.00041299999999999996	7
0.0007610000000000001	8	0.003336	8	0.000473	8
0.000843	9	0.004391	9	0.000725	9
0.001258	10	0.005248	10	0.0007750000000000001	10
0.0013629999999999998	11	0.005527000000000001	11	0.0007819999999999999	11
0.001823	12	0.005660999999999	12	0.0008259999999999999	12
0.0018300000000000002	13	0.006157	13	0.000833	13
0.002209	14	0.006711000000000001	14	0.0012879999999999999	14
0.002643	15	0.006771	15	0.001387	15
0.00369	16	0.012513999999999002	16	0.001682	16
0.014986000000000001	17	0.013472999999999999	17	0.001859	17
0.016252	18	0.023601	18	0.002242999999999	18
0.024966000000000002	19	0.027018999999999002	19	0.0029000000000000002	19
0.025918	20	0.030001000000000003	20	0.005827	20
0.027415	21	0.034575999999999996	21	0.007918999999999	21
0.11681100000000001	22	0.151721	22	0.008253	22
0.27578600000000003	23	0.157957	23	0.013142	23
0.45485899999999996	24	0.165386	24	0.017863999999999998	24
0.6643450000000001	25	0.202512	25	0.026275999999999997	25
2.366164	26	0.665239	26	0.028331	26
3.660328	27	1.263814	27	0.033253	27
5.916376	28	2.080735	28	0.054154	28
60	28	60	28	60	28
