,workload,strategy,task,time
0,RBT,LSDRBTFastGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
1,RBT,LSDRBTFastGenerator,"RBT,delete_5,test_prop_DeleteDelete",0.050721999999999996
2,RBT,LSDRBTFastGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.001088
3,RBT,LSDRBTFastGenerator,"RBT,delete_5,test_prop_DeleteModel",0.023475000000000003
4,RBT,LSDRBTFastGenerator,"RBT,delete_5,test_prop_DeletePost",0.09085000000000001
5,RBT,LSDRBTFastGenerator,"RBT,delete_5,test_prop_InsertDelete",0.014032000000000001
6,RBT,LSDRBTFastGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.001261
7,RBT,LSDRBTFastGenerator,"RBT,insert_1,test_prop_InsertInsert",0.000214
8,RBT,LSDRBTFastGenerator,"RBT,insert_1,test_prop_InsertModel",0.00034399999999900005
9,RBT,LSDRBTFastGenerator,"RBT,insert_1,test_prop_InsertPost",0.0023
10,RBT,LSDRBTFastGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.006320999999999999
11,RBT,LSDRBTFastGenerator,"RBT,insert_2,test_prop_InsertDelete",0.006346999999999999
12,RBT,LSDRBTFastGenerator,"RBT,insert_2,test_prop_InsertInsert",0.000652
13,RBT,LSDRBTFastGenerator,"RBT,insert_2,test_prop_InsertModel",0.001777
14,RBT,LSDRBTFastGenerator,"RBT,insert_2,test_prop_InsertPost",0.006111
15,RBT,LSDRBTFastGenerator,"RBT,insert_3,test_prop_InsertDelete",0.010110000000000001
16,RBT,LSDRBTFastGenerator,"RBT,insert_3,test_prop_InsertInsert",0.0020529999999999997
17,RBT,LSDRBTFastGenerator,"RBT,insert_3,test_prop_InsertModel",0.0022329999999999997
18,RBT,LSDRBTFastGenerator,"RBT,insert_3,test_prop_InsertPost",0.008154999999999
19,RBT,LSDRBTFastGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",60.0
20,RBT,LSDRBTFastGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.00048000000000000007
21,RBT,LSDRBTFastGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",60.0
