,workload,strategy,task,time
0,RBT,BespokeGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
1,RBT,BespokeGenerator,"RBT,delete_5,test_prop_DeleteDelete",0.038967999999999996
2,RBT,BespokeGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.0015949999999999998
3,RBT,BespokeGenerator,"RBT,delete_5,test_prop_DeleteModel",0.002784
4,RBT,BespokeGenerator,"RBT,delete_5,test_prop_DeletePost",0.0066040000000000005
5,RBT,BespokeGenerator,"RBT,delete_5,test_prop_InsertDelete",0.016486999999999002
6,RBT,BespokeGenerator,"RBT,insert_1,test_prop_DeleteInsert",0.003947
7,RBT,BespokeGenerator,"RBT,insert_1,test_prop_InsertInsert",0.001303
8,RBT,BespokeGenerator,"RBT,insert_1,test_prop_InsertModel",0.000962
9,RBT,BespokeGenerator,"RBT,insert_1,test_prop_InsertPost",0.0076939999999999995
10,RBT,BespokeGenerator,"RBT,insert_2,test_prop_DeleteInsert",0.014672000000000001
11,RBT,BespokeGenerator,"RBT,insert_2,test_prop_InsertDelete",0.010190000000000001
12,RBT,BespokeGenerator,"RBT,insert_2,test_prop_InsertInsert",0.00185
13,RBT,BespokeGenerator,"RBT,insert_2,test_prop_InsertModel",0.004961
14,RBT,BespokeGenerator,"RBT,insert_2,test_prop_InsertPost",0.017957
15,RBT,BespokeGenerator,"RBT,insert_3,test_prop_InsertDelete",0.015634000000000002
16,RBT,BespokeGenerator,"RBT,insert_3,test_prop_InsertInsert",0.0066229999999999995
17,RBT,BespokeGenerator,"RBT,insert_3,test_prop_InsertModel",0.004014
18,RBT,BespokeGenerator,"RBT,insert_3,test_prop_InsertPost",0.015416000000000001
19,RBT,BespokeGenerator,"RBT,miscolor_balLeft,test_prop_DeleteValid",0.08412299999999999
20,RBT,BespokeGenerator,"RBT,miscolor_insert,test_prop_InsertValid",0.0011330000000000001
21,RBT,BespokeGenerator,"RBT,miscolor_join_2,test_prop_DeleteValid",0.038376
22,RBT,BespokeGenerator,"RBT,miscolordelete,test_prop_DeleteValid",0.001127
23,RBT,BespokeGenerator,"RBT,no_balance_insert_1,test_prop_InsertValid",0.004343
24,RBT,BespokeGenerator,"RBT,no_balance_insert_2,test_prop_InsertValid",0.0068909999999999996
25,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_DeleteDelete",1.034026
26,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_DeleteInsert",0.005928
27,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_DeleteModel",0.36320399999999997
28,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_DeletePost",3.615824
29,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_DeleteValid",0.396656
30,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_InsertDelete",0.010876
31,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_InsertInsert",0.005690000000000001
32,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_InsertModel",0.001942
33,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_InsertPost",0.038679000000000005
34,RBT,BespokeGenerator,"RBT,swap_ad,test_prop_InsertValid",0.008152
35,RBT,ColorPropTBGenerator,"RBT,delete_4,test_prop_DeleteValid",60.0
36,RBT,ColorPropTBGenerator,"RBT,delete_5,test_prop_DeleteDelete",4.15108
37,RBT,ColorPropTBGenerator,"RBT,delete_5,test_prop_DeleteInsert",0.008213999999999999
38,RBT,ColorPropTBGenerator,"RBT,delete_5,test_prop_DeleteModel",0.260111
