,workload,strategy,task,time
0,BST,BespokeGenerator,"BST,delete_4,test_prop_DeleteDelete",0.0056045
1,BST,BespokeGenerator,"BST,delete_4,test_prop_DeleteInsert",0.000402
2,BST,BespokeGenerator,"BST,delete_4,test_prop_DeleteModel",0.00018449999999999999
3,BST,BespokeGenerator,"BST,delete_4,test_prop_DeletePost",0.0011380000000000001
4,BST,BespokeGenerator,"BST,delete_4,test_prop_DeleteUnion",0.002216
5,BST,BespokeGenerator,"BST,delete_4,test_prop_InsertDelete",0.00030349999999999995
6,BST,BespokeGenerator,"BST,delete_4,test_prop_UnionDeleteInsert",0.000417
7,BST,BespokeGenerator,"BST,delete_5,test_prop_DeleteDelete",0.020735999999999997
8,BST,BespokeGenerator,"BST,delete_5,test_prop_DeleteInsert",0.0002275
9,BST,BespokeGenerator,"BST,delete_5,test_prop_DeleteModel",0.0009315
10,BST,BespokeGenerator,"BST,delete_5,test_prop_DeletePost",0.0027984999999999998
11,BST,BespokeGenerator,"BST,delete_5,test_prop_DeleteUnion",0.014242999999999999
12,BST,BespokeGenerator,"BST,delete_5,test_prop_UnionDeleteInsert",0.0017274999999999999
13,BST,BespokeGenerator,"BST,insert_1,test_prop_DeleteInsert",0.00026599999999999996
14,BST,BespokeGenerator,"BST,insert_1,test_prop_InsertInsert",0.000415
15,BST,BespokeGenerator,"BST,insert_1,test_prop_InsertModel",0.00031000000000000005
16,BST,BespokeGenerator,"BST,insert_1,test_prop_InsertPost",0.001023
17,BST,BespokeGenerator,"BST,insert_1,test_prop_InsertUnion",0.0003559999999995
18,BST,BespokeGenerator,"BST,insert_1,test_prop_UnionDeleteInsert",0.000388
19,BST,BespokeGenerator,"BST,insert_2,test_prop_DeleteInsert",0.0029464999999995
20,BST,BespokeGenerator,"BST,insert_2,test_prop_InsertDelete",0.0044635000000000005
21,BST,BespokeGenerator,"BST,insert_2,test_prop_InsertInsert",0.0005714999999995
22,BST,BespokeGenerator,"BST,insert_2,test_prop_InsertModel",0.0025975
23,BST,BespokeGenerator,"BST,insert_2,test_prop_InsertPost",0.0034255
24,BST,BespokeGenerator,"BST,insert_2,test_prop_InsertUnion",0.0029165
25,BST,BespokeGenerator,"BST,insert_2,test_prop_UnionDeleteInsert",0.0022905
26,BST,BespokeGenerator,"BST,insert_3,test_prop_InsertDelete",0.0024345
27,BST,BespokeGenerator,"BST,insert_3,test_prop_InsertInsert",0.001095
28,BST,BespokeGenerator,"BST,insert_3,test_prop_InsertModel",0.001979
29,BST,BespokeGenerator,"BST,insert_3,test_prop_InsertPost",0.0033410000000000002
30,BST,BespokeGenerator,"BST,insert_3,test_prop_InsertUnion",0.0015279999999999998
31,BST,BespokeGenerator,"BST,insert_3,test_prop_UnionDeleteInsert",0.0016535
32,BST,BespokeGenerator,"BST,union_6,test_prop_DeleteUnion",0.0016124999999995
33,BST,BespokeGenerator,"BST,union_6,test_prop_InsertUnion",0.0077084999999995005
34,BST,BespokeGenerator,"BST,union_6,test_prop_UnionDeleteInsert",0.0004095
35,BST,BespokeGenerator,"BST,union_6,test_prop_UnionModel",0.000496
36,BST,BespokeGenerator,"BST,union_6,test_prop_UnionUnionIdem",0.000253
37,BST,BespokeGenerator,"BST,union_6,test_prop_UnionValid",0.000487
38,BST,BespokeGenerator,"BST,union_7,test_prop_DeleteUnion",0.0023845000000000003
39,BST,BespokeGenerator,"BST,union_7,test_prop_InsertUnion",0.001265
40,BST,BespokeGenerator,"BST,union_7,test_prop_UnionDeleteInsert",0.0007689999999999999
41,BST,BespokeGenerator,"BST,union_7,test_prop_UnionModel",0.0005304999999999999
42,BST,BespokeGenerator,"BST,union_7,test_prop_UnionUnionAssoc",0.0007599999999999999
43,BST,BespokeGenerator,"BST,union_7,test_prop_UnionValid",0.0005025
44,BST,BespokeGenerator,"BST,union_8,test_prop_DeleteUnion",0.008667999999999999
45,BST,BespokeGenerator,"BST,union_8,test_prop_InsertUnion",0.0055065
46,BST,BespokeGenerator,"BST,union_8,test_prop_UnionDeleteInsert",0.016444
47,BST,BespokeGenerator,"BST,union_8,test_prop_UnionModel",0.001692
48,BST,BespokeGenerator,"BST,union_8,test_prop_UnionUnionAssoc",0.0033785000000000004
